date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,ercot_wholesale_mwh,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter
2021-09-01,2021,9,2021-09,32.06005188067444,25.906420233463034,3.842996108949416,4.849383916990921,69.33239299610894,46.24108659061243,37.36553595505776,14.14,11.65,7.61,39.74604829194158,22.682459289156416,18.55389964073672,16.45876164659012,101,411,512,45.246208333333335,,5.36,9.898630136986302,9.75890410958904,True
2021-10-01,2021,10,2021-10,29.467145726120247,26.519737667880005,6.045029496673779,6.132640893686456,70.8964478473704,41.56364193246842,37.4062995722622,14.06,11.52,7.44,41.17768559581761,19.54147259118805,18.238846876549488,18.30598398655838,100,443,543,53.652150537634405,,5.72,9.898630136986302,9.75890410958904,True
2021-11-01,2021,11,2021-11,28.15632295719844,28.99442282749676,15.63112840466926,10.91481841763943,87.06154345006485,32.34071191644773,33.30336412439879,14.07,11.29,7.37,38.95308642015876,18.27063563602818,19.96417985628259,20.018305894103477,102,461,563,39.77607489597781,,5.25,9.898630136986302,9.75890410958904,True
2021-12-01,2021,12,2021-12,27.580833437931467,29.5790134304004,21.000564829923437,12.58453621187398,94.39632232960965,29.218122864602407,31.334921425346927,13.72,11.15,7.06,37.847844057713246,17.805980953207666,20.978668041060214,20.617334403208478,106,480,586,29.701706989247317,,3.91,9.898630136986302,9.75890410958904,True
2022-01-01,2022,1,2022-01,29.78583532069788,30.6794903978913,30.047226057487133,17.286964980544745,112.40297477093009,26.499152163365306,27.294197916393315,13.64,11.26,7.19,36.10484560953508,23.43399243342103,18.882651386998475,18.57729557291101,116,495,611,33.650362903225805,,4.55,10.972602739726026,10.575342465753424,True
2022-02-01,2022,2,2022-02,27.93214980544747,30.165022234574764,27.487736242356867,16.121456364647027,106.04620622568096,26.33960308396512,28.4451686752277,13.76,11.66,7.28,35.44298806232995,21.882214259388697,19.071884856587594,20.96506177558467,124,522,646,39.40650297619048,,4.87,10.972602739726026,10.575342465753424,True
2022-03-01,2022,3,2022-03,24.377023973892303,28.784642901970628,18.468369524287684,12.09608384586419,87.29032258064517,27.92637631894536,32.97575498747559,14.41,11.65,7.37,34.65846022813665,18.802170258691085,19.46002140912369,24.39252744411661,137,527,664,38.48512786002692,,5.09,10.972602739726026,10.575342465753424,True
2022-04-01,2022,4,2022-04,24.09452010376135,27.8374513618677,12.469390402075224,8.94737354085603,76.46523994811932,31.51042240907002,36.40536717174373,14.57,11.82,7.7,34.70659566037445,18.20075312226043,18.18772865936593,26.196127650494223,144,548,692,52.51783333333333,,6.85,10.972602739726026,10.575342465753424,True
2022-05-01,2022,5,2022-05,28.953401531316683,26.41781724614033,6.315708547759508,5.747709300866072,70.29697502196561,41.18726520205122,37.58030446955304,14.89,12.0,8.25,37.14117441776724,18.27432310530744,18.522692695583608,23.55538823058845,150,574,724,80.51465053763441,,8.45,10.972602739726026,10.575342465753424,True
2022-06-01,2022,6,2022-06,37.11173800259404,26.203242542153045,4.018839169909209,4.738067444876784,75.13274967574579,49.39488859752777,34.87592648377666,15.3,12.75,8.85,41.019024524275046,19.376562897569176,17.33304071401766,19.99496052770494,154,584,738,79.20486111111111,,7.99,10.972602739726026,10.575342465753424,True
