region,category,level,parent,display_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
central_south_america,clean_fuels,2,fuels,Clean Fuels,1.00,0.80,0.80,1.00,1.40,1.20,1.50,1.50,2.50,2.80,3.40
central_south_america,direct_air_capture,2,fuels,Direct Air Capture,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,efficiency_buildings,3,energy_efficiency,Efficiency: Buildings,4.60,4.90,5.20,5.40,5.90,6.10,6.80,7.50,8.00,8.50,8.70
central_south_america,efficiency_industry,3,energy_efficiency,Efficiency: Industry,1.10,1.00,1.00,0.70,0.40,0.80,1.20,1.30,1.60,1.90,2.20
central_south_america,efficiency_transport,3,energy_efficiency,Efficiency: Transport,0.30,1.40,1.50,2.30,2.50,2.30,2.60,3.20,3.10,3.20,3.10
central_south_america,electricity_networks,2,power,Electricity networks,13.40,14.00,13.70,12.70,11.70,9.70,10.20,8.50,17.20,10.70,11.40
central_south_america,end_use,1,,End-use,7.50,11.00,9.50,10.00,10.20,14.00,12.60,14.20,15.30,18.10,19.30
central_south_america,energy_efficiency,2,end_use,Energy efficiency,6.00,7.30,7.70,8.40,8.80,9.20,10.70,12.00,12.70,13.50,14.00
central_south_america,fossil_coal,3,fossil_fuels,Coal,3.30,2.80,1.90,1.70,0.80,0.40,0.40,0.40,0.40,0.40,0.60
central_south_america,fossil_fuels,2,fuels,Fossil fuels,95.00,73.90,59.60,54.20,53.10,43.20,55.90,61.80,73.10,75.20,74.30
central_south_america,fossil_gas,3,fossil_fuels,Gas,17.70,14.50,11.90,10.10,9.60,8.20,10.70,9.50,10.40,10.70,10.50
central_south_america,fossil_oil,3,fossil_fuels,Oil,73.90,56.60,45.80,42.50,42.70,34.60,44.80,51.90,62.30,64.10,63.10
central_south_america,fuels,1,,Fuels,96.00,74.70,60.40,55.20,54.40,44.30,57.40,63.30,75.50,78.00,77.70
central_south_america,gen_coal_unabated,3,generation,Coal (unabated),1.10,0.90,0.80,0.70,0.40,0.20,0.10,0.10,0.10,0.10,0.20
central_south_america,gen_fossil_ccus,3,generation,Fossil fuels with CCUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,gen_nuclear,3,generation,Nuclear,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.50,0.90,0.90,0.80
central_south_america,gen_oil_gas_unabated,3,generation,Oil & natural gas (unabated),4.30,4.50,4.40,4.10,3.60,2.50,2.80,2.80,3.20,3.80,2.30
central_south_america,gen_other_clean,3,generation,Other clean power,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,gen_other_clean_ammonia,4,gen_other_clean,Ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,gen_other_clean_heat_pumps,4,gen_other_clean,Large scale heat pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,gen_other_clean_hydrogen,4,gen_other_clean,Hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,gen_renewables,3,generation,Renewables,26.30,21.30,17.70,17.50,17.20,18.40,22.40,25.10,24.70,22.60,21.40
central_south_america,gen_renewables_other,4,gen_renewables,Other renewables,13.60,9.90,6.40,5.90,5.80,5.60,5.70,6.00,6.40,6.50,6.80
central_south_america,gen_renewables_solar,4,gen_renewables,Solar,4.30,4.30,4.80,6.20,6.30,7.00,10.10,12.10,11.90,10.20,8.40
central_south_america,gen_renewables_wind,4,gen_renewables,Wind,8.40,7.10,6.40,5.50,5.10,5.90,6.60,6.90,6.30,5.90,6.20
central_south_america,gen_waste_nonrenewable,3,generation,Waste: non-renewable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
central_south_america,generation,2,power,Generation,32.00,26.80,22.90,22.40,21.30,21.20,25.30,28.40,28.80,27.40,24.60
central_south_america,memo_oil_gas_upstream,0,,Memo: Oil & gas upstream,82.00,61.70,48.60,44.30,42.10,30.20,38.50,43.30,54.90,57.70,56.80
central_south_america,memo_transitional_fossil,0,,Memo: Transitional fossil fuels,0.00,0.00,0.10,0.10,0.20,0.20,0.40,0.60,0.50,0.60,2.20
central_south_america,other_end_use,2,end_use,Other end-use,1.50,3.70,1.80,1.60,1.40,4.80,1.90,2.20,2.60,4.60,5.40
central_south_america,other_end_use_buildings,3,other_end_use,Other end-use: Buildings,0.90,1.00,1.00,1.00,0.90,0.80,0.60,0.60,0.70,0.90,1.10
central_south_america,other_end_use_industry,3,other_end_use,Other end-use: Industry,0.50,2.70,0.70,0.40,0.20,3.70,0.90,0.80,0.40,1.10,1.10
central_south_america,other_end_use_renewables,2,end_use,Other end-use renewables,0.52,0.47,0.46,0.46,0.48,0.51,0.60,0.67,0.69,0.71,
central_south_america,other_end_use_transport,3,other_end_use,Other end-use: Transport,0.10,0.10,0.10,0.20,0.30,0.20,0.40,0.80,1.50,2.60,3.20
central_south_america,power,1,,Power,45.40,40.90,36.60,35.00,33.00,30.90,35.50,37.00,46.30,38.60,36.50
central_south_america,supply_by_type,1,,Supply (by type),140.01,110.93,105.44,112.01,95.10,88.96,103.61,106.73,99.84,,
central_south_america,supply_electricity_networks,1,,Supply: Electricity networks,14.11,14.75,14.43,13.35,12.28,10.20,10.77,9.01,10.13,,
central_south_america,supply_fossil_no_ccus,2,supply_by_type,Supply: Fossil fuels (no CCUS),99.95,75.50,72.70,79.59,59.77,49.87,53.96,55.47,53.53,,
central_south_america,supply_other,1,,Supply: Other,0.00,0.20,0.28,0.53,0.90,0.80,1.20,1.59,3.00,,
central_south_america,supply_renewables,1,,Supply: Renewables,26.17,21.00,17.99,18.74,22.19,28.11,37.59,40.60,33.28,,
central_south_america,total,0,,Total,148.90,126.60,106.60,100.30,97.60,89.20,105.50,114.50,137.20,134.70,133.50
china,battery_storage,2,power,Battery storage,0.00,0.10,0.20,0.60,0.70,1.30,1.80,5.90,11.10,21.60,19.30
china,clean_energy,1,total,of which: Clean energy,318.40,366.10,380.90,366.00,370.60,371.60,377.00,485.60,590.50,625.30,627.80
china,clean_fuels,2,fuels,Clean Fuels,0.90,1.10,1.40,1.00,0.70,0.60,1.70,3.90,2.70,3.50,6.20
china,direct_air_capture,2,fuels,Direct Air Capture,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
china,efficiency_buildings,3,energy_efficiency,Efficiency: Buildings,47.80,48.50,50.00,49.00,50.60,50.40,52.10,50.50,53.20,55.80,55.00
china,efficiency_industry,3,energy_efficiency,Efficiency: Industry,14.80,12.90,11.90,8.60,6.10,3.80,2.50,2.00,2.60,5.30,7.10
china,efficiency_transport,3,energy_efficiency,Efficiency: Transport,4.60,10.50,11.50,12.50,14.20,14.70,11.50,8.00,10.30,9.60,9.10
china,electricity_networks,2,power,Electricity networks,79.30,92.00,87.00,84.60,77.30,74.60,70.90,76.60,76.60,83.10,88.60
china,end_use,1,,End-use,114.90,137.20,142.80,128.00,115.30,111.00,126.00,147.30,149.70,151.50,162.30
china,energy_efficiency,2,end_use,Energy efficiency,67.20,72.00,73.40,70.20,70.90,68.90,66.10,60.50,66.10,70.70,71.20
china,fossil_coal,3,fossil_fuels,Coal,86.60,65.10,62.10,63.90,80.40,78.80,83.60,97.00,102.90,109.50,113.70
china,fossil_fuels,2,fuels,Fossil fuels,164.30,132.80,137.80,153.00,178.10,164.70,177.00,193.50,202.70,195.10,199.90
china,fossil_gas,3,fossil_fuels,Gas,21.80,20.50,21.20,24.70,26.30,26.80,28.60,36.40,37.00,29.40,27.50
china,fossil_oil,3,fossil_fuels,Oil,55.80,47.20,54.40,64.40,71.50,59.10,64.80,60.20,62.80,56.20,58.80
china,fuels,1,,Fuels,165.10,134.00,139.10,154.00,178.90,165.30,178.70,197.40,205.40,198.60,206.10
